Veiculo,Preco,Detalhes
"JEEP RENEGADE 1.3, VW T-CROSS 1.0 TURBO, GM TRACKER 1.2 TURBO OU SIMILAR*","158,95","Automático, Ar-condicionado, Dir. Hidráulica, Vidro elétrico, Trava elétrica, 4 portas, Air bag, ABS, 2 mala(s) grande(s), 2 mala(s) pequena(s), 5 pessoas"
"FIAT MOBI 1.0, RENAULT KWID 1.0 OU SIMILAR*","89,95","4 portas, Ar-condicionado, Vidro elétrico, Trava elétrica, Air bag, Dir. Hidráulica, ABS, Manual, 2 mala(s) pequena(s), 4 pessoas"
RENAULT ZOE E-TECH ELÉTRICO OU SIMILAR*,"326,95","4 portas, Ar-condicionado, Vidro elétrico, Trava elétrica, Air bag, Automático, ABS, 1 mala(s) grande(s), 1 mala(s) pequena(s), 4 pessoas"
"FIAT ARGO 1.0, VW POLO 1.0, HYUNDAI HB20 1.0 OU SIMILAR*","89,95","4 portas, Ar-condicionado, Vidro elétrico, Trava elétrica, Air bag, Dir. Hidráulica, ABS, Manual, 2 mala(s) grande(s), 1 mala(s) pequena(s), 5 pessoas"
"HYUNDAI HB20S 1.0, GM ONIX 1.0, FIAT CRONOS 1.0 OU SIMILAR*","99,95","Ar-condicionado, Dir. Hidráulica, Vidro elétrico, Trava elétrica, 4 portas, Air bag, ABS, Manual, 2 mala(s) grande(s), 2 mala(s) pequena(s), 5 pessoas"
"HONDA CITY HATCH, PEUGEOT 208 1.6 OU SIMILAR*","114,95","4 portas, Ar-condicionado, Vidro elétrico, Trava elétrica, Air bag, Dir. Hidráulica, Automático, 2 mala(s) grande(s), 2 mala(s) pequena(s), 5 pessoas"
"FIAT CRONOS 1.3, GM ONIX PLUS 1.0 TURBO OU SIMILAR*","109,95","4 portas, Ar-condicionado, Vidro elétrico, Trava elétrica, Air bag, Dir. Hidráulica, Motor 1.6, ABS, Manual, 2 mala(s) grande(s), 2 mala(s) pequena(s), 5 pessoas"
"HYUNDAI HB20S 1.0, HONDA CITY SEDAN, GM ONIX PLUS 1.0 TURBO OU SIMILAR*","125,95","Automático, Motor 1.6, Ar-condicionado, Dir. Hidráulica, Vidro elétrico, Trava elétrica, 4 portas, Air bag, ABS, 2 mala(s) grande(s), 2 mala(s) pequena(s), 5 pessoas"
"NIVUS HIGHLINE 1.0T, NISSAN KICKS 1.6, C3 AIRCROSS 1.0 TURBO OU SIMILAR*","132,95","Automático, Ar-condicionado, Dir. Hidráulica, Vidro elétrico, Trava elétrica, 4 portas, Air bag, ABS, 2 mala(s) grande(s), 2 mala(s) pequena(s), 5 pessoas"
GM EQUINOX 1.5 OU SIMILAR*,"374,51","Automático, Ar-condicionado, Direção Elétrica, Vidro elétrico, Trava elétrica, 4 portas, Air bag, ABS, 3 mala(s) grande(s), 2 mala(s) pequena(s), 5 pessoas"
JEEP COMMANDER 1.3 TURBO OU SIMILAR*,"431,95","Automático, Direção Elétrica, Banco de Couro, Ar-condicionado, Vidro elétrico, Trava elétrica, 4 portas, Air bag, ABS, 2 mala(s) grande(s), 2 mala(s) pequena(s), 7 pessoas"
AUDI Q3 PRESTIGE 2.0 OU SIMILAR*,"629,21","4 portas, Ar-condicionado, Vidro elétrico, Trava elétrica, Air bag, Automático, ABS, 3 mala(s) grande(s), 2 mala(s) pequena(s), 5 pessoas"
"GWM HAVAL H6 HÍBRIDO 1.5 AT, BYD SONG PLUS HÍBRIDO PHEV OU SIMILAR*","525,95","4 portas, Ar-condicionado, Vidro elétrico, Trava elétrica, Air bag, Automático, Motor híbrido, 2 mala(s) grande(s), 1 mala(s) pequena(s), 5 pessoas"
TOYOTA COROLLA 2.0 OU SIMILAR*,"340,74","Ar-condicionado, Dir. Hidráulica, Automático, Vidro elétrico, Trava elétrica, 4 portas, Air bag, ABS, 3 mala(s) grande(s), 2 mala(s) pequena(s), 5 pessoas"
"JEEP COMPASS 1.3 TURBO, VOLKSWAGEN TAOS 1.4 TSI, HYUNDAI NEW TUCSON 1.6 TURBO OU SIMILAR*","261,95","Ar-condicionado, Dir. Hidráulica, Automático, Vidro elétrico, Trava elétrica, 4 portas, Air bag, ABS, 3 mala(s) grande(s), 2 mala(s) pequena(s), 5 pessoas"
AUDI A3 SEDAN AT HIBRIDO OU SIMILAR*,"525,95","4 portas, Ar-condicionado, Vidro elétrico, Trava elétrica, Air bag, Automático, Banco de Couro, ABS, Direção Elétrica, 3 mala(s) grande(s), 2 mala(s) pequena(s), 5 pessoas"
HONDA CIVIC HIBRIDO 2.0 OU SIMILAR*,"422,89","4 portas, Ar-condicionado, Vidro elétrico, Trava elétrica, Air bag, Automático, Banco de Couro, ABS, Direção Elétrica, Motor híbrido, 2 mala(s) grande(s), 2 mala(s) pequena(s), 5 pessoas"
FIAT TORO 1.3 TURBO OU SIMILAR*,"376,95","4 portas, Ar-condicionado, Vidro elétrico, Trava elétrica, Air bag, Automático, ABS, Direção Elétrica, 5 pessoas"
"GM SPIN 1.8, C3 AIRCROSS 1.0 TURBO 7L AT","259,95","4 portas, Ar-condicionado, Vidro elétrico, Trava elétrica, Air bag, Dir. Hidráulica, Automático, 1 mala(s) grande(s), 2 mala(s) pequena(s), 7 pessoas"
"VW SAVEIRO 1.6, FIAT STRADA 1.3 OU SIMILAR*","223,95","2 portas, Ar-condicionado, Air bag, Manual, 2 pessoas"
